CategoryDelivery,BrandID,Brand,total_observations,anomalies_count,median_ots,mad_ots,max_ots,max_z_score
Корм для кошек,215539,pro plan,293,8,3255.146,1616.2990000000002,33230.044,18.54539166329992
Аудиотехника,207447,honor,179,8,3400.505,2128.673,48486.854,21.180495548165457
Крупная техника,218309,sony,119,8,2999.061,1737.0949999999998,34485.162,18.125721966846946
Крупная техника,209597,kuppersberg,76,8,3583.4359999999997,1301.9409999999996,34508.456999999995,23.75301261731523
Аудиотехника,214553,panasonic,107,8,3416.733,1778.457,36837.537,18.792022522894843
Аудиотехника,214973,philips,81,8,3256.778,2052.225,69817.005,32.4332015251739
Крупная техника,220410,ugoos,72,8,2335.556,1146.373,72610.881,61.302320448928924
Краски для волос,208794,kapous,144,8,3714.2515000000003,1901.3800000000003,28660.626,13.120141423597595
Обувь,202186,converse,202,8,4715.485000000001,2567.9170000000004,40314.386,13.862948451994356
Обувь,217033,salamander,206,8,2742.014,1186.212,25598.414,19.268393845282294
Одежда,202087,columbia,147,8,3164.074,1284.9370000000001,58316.025,42.92191056837806
Корм для кошек,206505,grandorf,118,8,3193.7095,1342.5075000000002,82726.42,59.241911497701125
Одежда,208796,kappa,160,8,3986.7200000000003,2095.6125,147314.532,68.39423414395553
Средства для волос,204179,elseve,161,8,4484.465,2208.513,51590.74800000001,21.32941169012816
Одежда,199450,balenciaga,136,7,4254.3375,2384.6935000000003,55464.74,21.474626613441092
Средства для мытья посуды,204747,fairy,378,7,3343.865,1595.7415,45860.822,26.644012830398907
Детское питание,231633,малютка,127,7,4683.035,2142.727,64051.10399999999,27.706781591868676
Товары для стирки,228029,елизар,141,7,3307.06,1537.9579999999999,42029.822,25.178036071206108
Средства для волос,214036,ollin,306,7,4433.4130000000005,2410.2240000000006,53046.41099999999,20.169493789788824
Средства для волос,220157,тресемме,94,7,2968.0095,1551.3180000000002,27505.695,15.817315018584194
Детские одежда и обувь,213658,nordman,85,7,3403.225,1559.712,43888.156,25.95667084692559
Крупная техника,198684,ariston,145,7,3034.07,1353.3480000000002,26772.779,17.54072788373722
Освежители для воздуха,206186,glade,104,7,3790.583,1854.3465,38962.08,18.967057666946282
Крупная техника,201225,candy,224,7,3697.7974999999997,1935.88,73181.936,35.892792166869846
Аудиотехника,198350,anker,69,7,4013.933,1660.0590000000002,44213.728,24.215883290895082
Крупная техника,206959,hartens,112,7,3488.934,2028.5194999999999,90824.814,43.05400071332812
Смартфоны,202493,cubot,138,7,2798.064,1392.4015,80512.587,55.813300258582025
Одежда,222286,zara,171,7,4013.658,2061.0260000000003,131007.47499999999,61.61679522723148
Смартфоны,211784,meizu,90,7,3365.9390000000003,1660.4170000000004,109719.658,64.05241514631564
Аудиотехника,210621,logitech,105,7,5038.002,3392.8539999999994,71330.988,19.53900344665583
Корм для кошек,232457,мираторг,193,7,3786.002,1940.6910000000003,44906.469,21.188569947508384
Малая техника,200628,bork,110,7,3572.9815,1932.038,143372.14,72.35838969005786
Малая техника,199462,ballu,121,7,3219.656,1418.125,74498.40000000001,50.2626665491406
Дезодоранты,199228,акс,256,7,3535.249,1495.6425,66374.11799999999,42.01463183882512
Детское питание,222732,агуша,206,7,3410.5295,1634.2650000000003,38288.152,21.341473078111566
Средства для волос,203471,дав,97,7,3502.746,1512.131,44903.133,27.37883622516832
Макияж для лица,210685,loreal,80,7,4032.6015,2071.1890000000003,29582.658000000003,12.335936749374392
Крупная техника,219647,thermex,136,7,3254.305,1539.1660000000002,49753.47,30.210623805359525
Одежда,210301,levis (одежда),165,7,3367.384,1733.437,41000.634000000005,21.710191948135414
Средства для волос,207030,head shoulders,204,7,3230.1085,1513.7745,24622.103,14.131559555270616
Детские одежда и обувь,215201,playtoday,141,6,4512.609,1981.4110000000005,76791.627,36.47855896631238
Средства для волос,214582,pantene,174,6,3862.7465,1926.0285000000003,28162.759,12.616642225179946
Средства для волос,217580,shamtu,130,6,3181.195,1377.7265000000002,27896.136,17.938931275547066
Товары для стирки,225346,вернель,227,6,3400.371,1437.7640000000001,36081.624,22.730610169680144
Аудиотехника,202964,denon,46,6,3672.416,2307.011,81341.296,33.66645412613984
Обувь,200547,bona,223,6,3741.361,1995.4229999999998,32869.756,14.597604117021806
Краски для волос,205874,garnier,194,6,3759.8545,1838.693,51185.638,25.79320392256891
Обувь,199450,balenciaga,165,6,4768.513,3148.6440000000002,126147.70799999998,38.54967249393706
Обувь,199389,baden,148,6,3182.6639999999998,1530.6735000000003,52057.691999999995,31.930407105107644
Корм для собак,214783,pedigree,89,6,4022.426,2169.493,50074.053,21.226907392648883
Обувь,213887,obba,233,6,3451.119,1376.205,42693.2,28.514706021268633
Детские одежда и обувь,202420,crockid,159,6,5096.218,2351.7889999999998,77460.525,30.76989772466833
Малая техника,217276,scarlett,144,6,3307.9605,1737.7830000000001,41383.26,21.91027274406528
